nombre,presupuesto,ejecutado
Educación,264994889105,200000000000
Salud,68305493445,10000000000
Agua potable y saneamiento básico,4639945619,4000000000
Recreación y deportes,5572671899,500000000
Cultura,3135796133,10
Vivienda,699627248,300000000
Promoción social,6367642336,1000000000
Promoción del desarrollo,600000000,250000000
Ciencia tecnología e innovación para la construcción de una paz duradera,130000000,120000000
Agropecuario,800000000,5000000
Minero,220000000,100000
Infraestructura en transporte,19341197864,19200000000
Sostenibilidad ambiental,1306812060,800000000
Gestión del riesgo,774421120,10
Seguridad y convivencia,1678231291,700000000
Fortalecimiento institucional,54657666143,52000000000
