nombre,presupuesto,ejecutado
Educación,264994889105,31379465140
Salud,68305493445,0
Agua potable y saneamiento básico,4639945619,0
Recreación y deportes,5572671899,0
Cultura,3135796133,10
Vivienda,699627248,0
Promoción social,6367642336,0
Promoción del desarrollo,600000000,0
Ciencia tecnología e innovación para la construcción de una paz duradera,130000000,0
Agropecuario,800000000,0
Minero,220000000,0
Infraestructura en transporte,19341197864,0
Sostenibilidad ambiental,1306812060,0
Gestión del riesgo,774421120,0
Seguridad y convivencia,1678231291,0
Fortalecimiento institucional,54657666143,0
