nombre,cantidad
Invama,54164748577
Assbasalud,5933451278
Municipio De Villamaria - Aquamana - Aguas De Manizales,5317300000
Instituto De Cultura Y Turismo,4557444193
Aguas De Manizales,3890918708
Fundación Nutrir,3282695350
Cooasobien,3270661714
Instituto De Cultura Y Turismo,3253927884
Comite Departamental De Cafeteros,2310684000
Unión Termporal Intermediarios De Seguros Municipio De Manizales 2016,1700000000
Unión Temporal Seguridad 2016,1700000000
Instituto De Cultura Y Turismo,1549263480
Gobernación De Caldas,1500000000
Corporación Autónoma Regional De Caldas,1474947217
Hospital Geriatrico San Isidro E.S.E,1275917000
Union Temporal Unidos Por Manizales,1254669864
Universidad De Manizales,1158600000
Cuerpo De Bomberos Voluntarios De Manizales,1149380400
Asociación Visión Norte,1126444141
Findeter,1050000000
Consorcio Canchas Sintéticas,1034001565
Caja De La Vivienda Popular,1026150000
People Contact S.A.S,1016462431
Cooperativa Colombiana De Vigilancia Especializada Cooviser Cta,881273246
Turisman S.A.S,873000000
Cooperativa De Servicios Integrales De Transporte Cta. Coopservintes,853291310
Instituto Colombiana De Bienestar Familiar Icbf,828636301
Constructora Ingevisa S.A.S,822594658
Comité De Cafeteros De Caldas,820604352
Invama,800000000
Chec,800000000
El Hospital Geriatrico San Isidro E.S.E.,735039283
Une Epm Telecomunicaciones S.A,728094636
Allianz Seguros De Vida S.A.,727026526
Fundacion Fesco,704988000
Infimanizales,684726972
Instituto De Cultura Y Turismo,669619289
Comunidad Religiosa Hermanos Marista De La Enseñanza,656688368
Fundacion Geriatrica Guadalupe,648561000
Municipio De Manizales,631509584
Heron Colombia Sas,614892613
Cooasobien,574595524
Universidad De Caldas,550000000
Junta De Accion Comunal Barrio Villahermosa,540762370
Semintel S.A.S.,514024056
Union Temporal Alimentar Manizales 2017,512500000
Fundación Luker,500000000
Fe Y Alegría De Colombia,479494000
Fundación Luker - Universidad Autónoma De Manizales,452000000
Jesus Maria Ramirez Gomez,441336105
Consorcio Ingeproyect,439377165
Consorcio Orion,439336944
Union Temporal Alpaca,435266414
Instituto De Cultura Y Turismo,435000000
Bioservicios S.A.S,434578168
Duque Y Duque Ingeniería Y Servicios S.A.S,424660005
Coopservintes,423400000
Epsagro Vision Norte,420420000
Hospital Geriatrico San Isidro Ese,419048191
Fundacion Hogar De Paso Mi Jesus,414400000
Distribuidora De Materiales Industriales Dimat Eu,409703183
Cámara De Comercio De Manizales Por Caldas,402509584
Universidad Nacional De Colombia -Sede Manizales,400000000
Centro Medico De Especialistas C.M.E. S.A.,400000000
Servicios Especializados Servicol S.A.S,400000000
Laser Refractivo De Caldas,400000000
Policía Nacional,400000000
Luis Alberto Agudelo Ospina,399459816
Comunidad De Hermanas Terciarias Capuchinas De La Sagrada Familia  Provincia Del Sagrado Corazon De,398306640
Consorcio Vías Manizales 011,396612346
Consorcio Mh 2016,394725949
Icodin S.A.S,393938532
German Salazar Mejia,385656070
Mas Medios Producciones S.A.S,383234500
Gopta De Leche,380000000
Asociacion Gota De Leche,375466740
Centro Colombo Americano,350170800
Policía Nacional- Policía Metropolitana,350000000
Susuerte S.A.,350000000
Corporacion Grupo Teatral Tich,339198302
Arquidiócesis De Manizales,337228000
La Pipa Comercializadora S.A.S,334000000
Caja De Compensacion Familiar De Caldas- Confa,330902916
Produvision S.A.S,317000000
Hector Herrera Marin,312250231
Centro De Recepcion De Menores,310000000
Productos Roche S.A.,300000000
Maxihogar Electrodomésticos S.A.,300000000
Financiera Del Desarrollo Findeter,300000000
Consorcio Carles,299543429
Consorcio Serna Marquez,297384184
Servicios Postales Nacionales S.A.,294000000
Viajes Aereos Nacionales E Internacionales Sa,292400000
Alvaro Hernando Naranjo Olaya,287179912
Juan Sebastian Morales Cardona,280457858
Seguridad Superior Limitada,273866429
Compañia De Seguridad Superior Ltda.,273866429
Fundacion Para El Desarrollo Y Avance Regional Fundar,273187367
Centro De Desarrollo Comunitario Versalles,266931500
La Pastoral Social Caritas - La Dorada,255000000
